term	meaning	reading
各自	각자	かくじ
各日	각 날짜	かくじつ
確実	확실하다	かくじつ
拡充	확충	かくじゅう
隠す	숨기다	かくす
拡大	확대	かくだい
各地	각지	かくち
拡張	확장	かくちょう
確保	확보	かくほ
格安	매우 싸다	かくやす
隠れる	숨다	かくれる
掛け算	곱셈	かけざん
過去	과거	かこ
囲む	둘러싸다, 포위하다	かこむ
重なる	겹치다	かさなる
重ねる	포개다, 거듭하다	かさねる
稼ぐ	벌다	かせぐ
下線	밑줄	かせん
河川	하천	かせん
肩	어깨	かた
片付く	정리되다	かたづく
片方	한쪽	かたほう
片道	편도	かたみち
語る	이야기하다, (표정이나 사실이) 말해 주다	かたる
課題	과제	かだい
勝ち	승리	かち
活気	활기	かっき
各国	각국	かっこく
勝つ	이기다	かつ
活用	활용하다	かつよう
活用度	활용도	かつようど
仮定	가정	かてい
家電製品	가전제품	かでんせいひん
悲しみ	슬픔	かなしみ
悲しむ	슬퍼하다	かなしむ
必ずしも	반드시 ~인 것은 아니다	かならずしも
かなり	꽤	かなり
加入	가입	かにゅう
加熱	가열	かねつ
可能	가능하다	かのう
構いません	괜찮습니다	かまいません
構わない	상관없다	かまわない
神	신	かみ
仮名	가명	かめい
科目	과목	かもく
空	(속이) 빈 상태	から
からから	바싹 마르다, 달그락달그락	からから
空っぽ	텅 비다	からっぽ
かれる	(목이) 쉬다	かれる
枯れる	시들다	かれる
皮	껍질, 가죽	かわ
乾かす	말리다	かわかす
渇く	목마르다	かわく
缶	캔	かん
感覚	감각	かんかく
間隔	간격	かんかく
観客	관객	かんきゃく
環境	환경	かんきょう
歓迎	환영	かんげい
歓迎会	환영회	かんげいかい
観光	관광	かんこう
観光地	관광지	かんこうち
看護師	간호사	かんごし
観察	관찰	かんさつ
歓心	환심	かんしん
関心	관심	かんしん
関心を集める	관심을 모으다	かんしんをあつめる
感じ	느낌	かんじ
患者	환자	かんじゃ
感情	감정	かんじょう
感情的	감정적이다	かんじょうてき
感じる	느끼다	かんじる
完成	완성	かんせい
間接	간접	かんせつ
完全	완전하다	かんぜん
乾燥	건조하다	かんそう
感想	소감	かんそう
感想文	감상문	かんそうぶん
看板	간판	かんばん
乾杯	건배	かんぱい
管理	관리	かんり
外貨	외화	がいか
外交	외교	がいこう
外出	외출	がいしゅつ
外食	외식	がいしょく
画家	화가	がか
学者	학자	がくしゃ
学習	학습	がくしゅう
学費	학비	がくひ
学問	학문	がくもん
学力	학업 능력	がくりょく
学科	학과	がっか
がっかり	실망하다	がっかり
学校をサボる	학교를 빼먹다	がっこうをサボる
我慢	참다	がまん
我慢強い	참을성이 강하다	がまんづよい
画面	화면	がめん
ガラガラ	덜컹덜컹, 텅 비다, (목소리가) 걸걸하다	がらがら
眼科	안과	がんか
黄色	노랑	きいろ
気温	기온	きおん
気がする	느낌이 들다	きがする
気がつく	깨닫다, 세심하다, 의식을 되찾다	きがつく
聞き直す	다시 듣다, 다시 묻다	ききなおす
企業	기업	きぎょう
危険性	위험성	きけんせい
期限	기한	きげん
刻む	잘게 썰다, 새기다	きざむ
生地	옷감, 반죽	きじ
傷	상처, 흠	きず
期待	기대	きたい
気体	기체	きたい
基地	기지	きち
きちんと	제대로, 깔끔히	きちんと
きっかけ	계기	きっかけ
きつい	힘들다, (자극이나 정도가) 강하다, (옷이나 신발이) 꽉 끼다	きつい
気づく	알아차리다	きづく
気に入る	마음에 들다	きにいる
気にしない	신경 쓰지 않다	きにしない
気にする	신경 쓰다	きにする
気になる	신경 쓰이다	きになる
記入	기입하다	きにゅう
記念	기념	きねん
機能	기능	きのう
基本	기본	きほん
希望	희망	きぼう
決まり	규칙	きまり
急	급하다, 갑작스럽다, (경사가) 가파르다	きゅう
休暇	휴가	きゅうか
休日	휴일	きゅうじつ
給与	급여	きゅうよ
給料	급여	きゅうりょう
急ブレーキ	급제동	きゅうブレーキ
強化	강화	きょうか
教師	교사	きょうし
教授	교수	きょうじゅ
共通	공통	きょうつう
共通点	공통점	きょうつうてん
協力	협력	きょうりょく
曲線	곡선	きょくせん
距離	거리	きょり
嫌い	싫어하다	きらい
嫌う	싫어하다	きらう
気楽	마음이 편하다	きらく
規律	규율	きりつ
切れる	끊어지다, (기한이나 재고 등이) 다 되다, 화나다	きれる
記録	기록	きろく
金額	금액	きんがく
禁止	금지	きんし
緊張	긴장	きんちょう
勤務	근무	きんむ
議会	의회	ぎかい
疑問	의문	ぎもん
行事	행사	ぎょうじ
業績	업적	ぎょうせき
ぎりぎり	빠듯하다	ぎりぎり
空席	빈자리	くうせき
空中	공중	くうちゅう
区間	구간	くかん
区切る	구분하다	くぎる
くしゃみ	재채기	くしゃみ
苦情	불평	くじょう
薬指	약손가락	くすりゆび
癖	버릇	くせ
くたびれる	지치다, (물건이) 낡다	くたびれる
下る	내려가다, 밑돌다, 설사하다	くだる
口紅	립스틱	くちべに
苦痛	고통	くつう
配る	나누어 주다	くばる
首になる	해고되다	くびになる
工夫	궁리	くふう
区別	구별	くべつ
組合	조합	くみあい
組む	(팔짱을) 끼다, 짜다, 손잡다	くむ
悔しい	분하다	くやしい
暮らす	살다	くらす
繰り返し	반복	くりかえし
繰り返す	반복하다	くりかえす
苦しい	힘들다, 난처하다, (형편이) 어렵다	くるしい
苦しむ	괴로워하다	くるしむ
苦労	고생	くろう
加える	더하다, 포함시키다, (피해를) 가하다	くわえる
詳しい	자세하다, 잘 알다	くわしい
加わる	더해지다	くわわる
訓練	훈련	くんれん
偶然	우연	ぐうぜん
ぐっすり	푹	ぐっすり
ぐらぐら	흔들흔들, (물이) 펄펄 끓다	ぐらぐら
経営学	경영학	けいえいがく
警官	경찰관	けいかん
景気	경기	けいき
経験者	경험자	けいけんしゃ
敬語	경어	けいご
警察官	경찰관	けいさつかん
携帯	휴대, 휴대전화	けいたい
経由	경유	けいゆ
怪我	부상	けが
化粧	화장	けしょう
ケチ	쩨쩨하다	けち
結局	결국	けっきょく
結婚式	결혼식	けっこんしき
決勝	결승	けっしょう
欠席	결석	けっせき
血圧	혈압	けつあつ
血液	혈액	けつえき
血液型	혈액형	けつえきがた
結論	결론	けつろん
気配	기미	けはい
煙	연기	けむり
蹴る	차다	ける
件	건	けん
券	표	けん
喧嘩	싸움	けんか
研究室	연구실	けんきゅうしつ
検査	검사	けんさ
建設	건설	けんせつ
建築	건축	けんちく
検討	검토하다	けんとう
件名	제목	けんめい
芸術	예술	げいじゅつ
外科	외과	げか
劇的	극적이다	げきてき
下車	하차	げしゃ
下駄	게다	げた
月末	월말	げつまつ
下品	품위가 없다	げひん
現金	현금	げんきん
現在	현재	げんざい
減少	감소	げんしょう
現象	현상	げんしょう
現実	현실	げんじつ
現代	현대	げんだい
現代人	현대인	げんだいじん
限度	한도	げんど
原料	원료	げんりょう
恋	사랑	こい
恋しい	그립다	こいしい
恋人	연인	こいびと
行為	행위	こうい
幸運	행운	こううん
効果	효과	こうか
高価	값비싸다	こうか
後悔	후회	こうかい
効果的	효과적이다	こうかてき
交換	교환	こうかん
交換留学	교환 유학	こうかんりゅうがく
工学	공학	こうがく
後期	후기	こうき
公共交通機関	대중교통	こうきょうこうつうきかん
公共料金	공공요금	こうきょうりょうきん
講義	강의	こうぎ
孝行	효도	こうこう
広告	광고	こうこく
交際	교제	こうさい
口座	계좌	こうざ
高速	고속, 고속도로	こうそく
高速道路	고속도로	こうそくどうろ
交代	교대	こうたい
紅茶	홍차	こうちゃ
交通事故	교통사고	こうつうじこ
校庭	교정	こうてい
後輩	후배	こうはい
後半	후반	こうはん
幸福	행복	こうふく
紅葉	단풍	こうよう
公立	공립	こうりつ
効率	효율	こうりつ
交流	교류	こうりゅう
交流会	교류회	こうりゅうかい
効力	효력	こうりょく
高齢者	고령자	こうれいしゃ
越える	넘다	こえる
小型	소형	こがた
呼吸	호흡	こきゅう
国語	국어	こくご
国際	국제	こくさい
黒板	칠판	こくばん
国立	국립	こくりつ
腰	허리	こし
個人	개인	こじん
子育て	육아	こそだて
国家	국가	こっか
国会	국회	こっかい
こっそり	몰래	こっそり
断る	거절하다, 미리 양해를 구하다	ことわる
粉	가루	こな
この間	얼마 전	このあいだ
この頃	요즘	このごろ
好み	취향	このみ
好む	좋아하다	このむ
こぼす	엎지르다, 불평하다	こぼす
転がす	굴리다, 넘어뜨리다	ころがす
転がる	굴러가다, 눕다, 널려 있다	ころがる
殺す	죽이다	ころす
怖がる	무서워하다	こわがる
今後	앞으로	こんご
混雑	혼잡하다	こんざつ
困難	곤란하다	こんなん
合計	합계	ごうけい
合流	합류	ごうりゅう
語学	어학	ごがく
後日	후일	ごじつ
ごみ	쓰레기	ごみ
差	차이	さ
最高	최고	さいこう
最終	최종, 마지막 교통편	さいしゅう
最終日	마지막 날	さいしゅうび
最小限	최소한	さいしょうげん
最新	최신	さいしん
祭日	공휴일	さいじつ
再生	재생	さいせい
最低	최저, 최악	さいてい
採点	채점	さいてん
坂道	비탈길	さかみち
作業	작업	さぎょう
作者	작자	さくしゃ
削除	삭제	さくじょ
作成	작성	さくせい
昨年	작년	さくねん
作品	작품	さくひん
昨夜	어젯밤	さくや
下げる	(높이나 수치나 지위 등을) 내리다, 걸다, 치우다	さげる
差出人	발신인	さしだしにん
差す	(우산을) 쓰다, 빛이 비치다	さす
左折	좌회전	させつ
作曲	작곡	さっきょく
早速	즉시	さっそく
撮影	촬영	さつえい
殺人	살인	さつじん
様々	다양하다	さまざま
冷ます	식히다	さます
覚ます	깨다	さます
冷める	식다	さめる
覚める	깨다	さめる
左右	좌우, 좌우하다	さゆう
猿	원숭이	さる
騒がしい	시끄럽다	さわがしい
騒ぎ	소동	さわぎ
参加費	참가비	さんかひ
参考	참고	さんこう
ざあざあ	쏴쏴, 지지직	ざあざあ
材料	재료	ざいりょう
材料費	재료비	ざいりょうひ
座席	좌석	ざせき
ざっと	대충	ざっと
残業	잔업	ざんぎょう
詩	시	し
幸せ	행복	しあわせ
しいん	쥐 죽은 듯 조용하다	しいん
塩	소금	しお
塩辛い	짜다	しおからい
四季	사계절	しき
支給	지급하다	しきゅう
資源	자원	しげん
死後	사후	しご
支社	지사	ししゃ
指示	지시	しじ
市場	시장	しじょう
詩人	시인	しじん
静かに	조용히	しずかに
沈む	가라앉다, (해가) 지다	しずむ
姿勢	자세	しせい
施設	시설	しせつ
自然	자연, 자연스럽다	しぜん
下書き	초안	したがき
次第に	점차	しだいに
湿気	습기	しっけ
失業	실업	しつぎょう
しつこい	집요하다, 느끼하다	しつこい
室内	실내	しつない
失恋	실연	しつれん
指定席	지정석	していせき
私鉄	민영 철도	してつ
支店	지점	してん
指導	지도	しどう
始発駅	시발역	しはつえき
支払う	지불하다	しはらう
志望	지망	しぼう
死亡	사망	しぼう
染み	얼룩, (피부의) 기미	しみ
氏名	성명	しめい
締め切り	마감	しめきり
示す	보여 주다, 가리키다	しめす
～者	~자	しゃ
しゃがむ	쪼그려 앉다	しゃがむ
車庫	차고	しゃこ
社説	사설	しゃせつ
しゃっくり	딸꾹질	しゃっくり
しゃべる	말하다	しゃべる
車輪	바퀴	しゃりん
週刊誌	주간지	しゅうかんし
集合	집합	しゅうごう
修正	수정	しゅうせい
収入	수입	しゅうにゅう
周辺	주변	しゅうへん
修理	수리	しゅうり
終了	종료	しゅうりょう
縮小	축소	しゅくしょう
祝日	공휴일	しゅくじつ
首相	총리	しゅしょう
手術	수술	しゅじゅつ
手段	수단	しゅだん
主張	주장	しゅちょう
出勤	출근	しゅっきん
出血	출혈	しゅっけつ
出発日	출발일	しゅっぱつび
首都	수도	しゅと
主婦	주부	しゅふ
主要	주요하다	しゅよう
種類	종류	しゅるい
消化	소화	しょうか
消極的	소극적이다	しょうきょくてき
商業	상업	しょうぎょう
正午	정오	しょうご
詳細	상세하다	しょうさい
少々	조금	しょうしょう
小食	소식	しょうしょく
正直	정직하다	しょうじき
少女	소녀	しょうじょ
小中学生	초중학생	しょうちゅうがくせい
商店	상점	しょうてん
商人	상인	しょうにん
少年	소년	しょうねん
商売	장사	しょうばい
消費	소비	しょうひ
商品	상품	しょうひん
消防	소방	しょうぼう
証明	증명	しょうめい
正面	정면	しょうめん
勝利	승리	しょうり
初級	초급	しょきゅう
職業	직업	しょくぎょう
食後	식후	しょくご
食費	식비	しょくひ
植物	식물	しょくぶつ
初心者	초보자	しょしんしゃ
書店	서점	しょてん
使用料	사용료	しようりょう
使用量	사용량	しようりょう
知らせ	소식, 예감	しらせ
知り合い	아는 사람	しりあい
知り合う	서로 알게 되다	しりあう
私立	사립	しりつ
白	하양, 결백	しろ
新幹線	신칸센	しんかんせん
進学	진학	しんがく
深呼吸	심호흡	しんこきゅう
診察	진찰	しんさつ
信じる	믿다	しんじる
申請	신청	しんせい
新鮮	신선하다	しんせん
身体	신체	しんたい
身長	키	しんちょう
新入部員	신입 부원	しんにゅうぶいん
進歩	진보	しんぽ
親友	절친한 친구	しんゆう
信用	신용	しんよう
信頼	신뢰	しんらい
心理	심리	しんり
森林	삼림	しんりん
寺院	사찰	じいん
次回	다음번	じかい
時間割	시간표	じかんわり
時給	시급	じきゅう
事項	사항	じこう
時刻	시각	じこく
時刻表	(운행) 시간표	じこくひょう
自己紹介	자기소개	じこしょうかい
事故に遭う	사고를 당하다	じこにあう
事後	사후	じご
時差	시차	じさ
持参	지참	じさん
自習	자습	じしゅう
自信	자신감	じしん
自身	자신	じしん
事実	사실	じじつ
次女	둘째 딸	じじょ
事前	사전	じぜん
時速	시속	じそく
実家	본가	じっか
実際に	실제로	じっさいに
実施	실시하다	じっし
じっと	가만히 있다, 유심히	じっと
実現	실현	じつげん
実は	실은	じつは
実物	실물	じつぶつ
実力	실력	じつりょく
自動化	자동화	じどうか
自動車会社	자동차 회사	じどうしゃがいしゃ
自動的	자동적이다	じどうてき
自動販売機	자동판매기	じどうはんばいき
次男	차남	じなん
自分自身	자기 자신	じぶんじしん
自慢	자랑	じまん
事務	사무	じむ
地面	땅	じめん
蛇口	수도꼭지	じゃぐち
渋滞	정체	じゅうたい
重大	중대하다	じゅうだい
授業料	수업료	じゅぎょうりょう
受験番号	수험번호	じゅけんばんごう
受講	수강	じゅこう
受信	수신	じゅしん
受話器	수화기	じゅわき
順位	순위	じゅんい
順番	차례	じゅんばん
自由席	자유석	じゆうせき
上級	상급	じょうきゅう
状況	상황	じょうきょう
上下	상하	じょうげ
上司	상사	じょうし
常識	상식	じょうしき
乗車	승차	じょうしゃ
乗車券	승차권	じょうしゃけん
上旬	초순	じょうじゅん
状態	상태	じょうたい
上達	(기능이) 향상되다	じょうたつ
冗談	농담	じょうだん
上品	품위 있다	じょうひん
情報	정보	じょうほう
助言	조언	じょげん
女子	여자	じょし
人種	인종	じんしゅ
人生	인생	じんせい
酢	식초	す
吸い込む	빨아들이다	すいこむ
水道料金	수도 요금	すいどうりょうきん
睡眠	수면	すいみん
睡眠不足	수면 부족	すいみんぶそく
吸う	들이마시다, 빨다, 흡수하다	すう
数式	수식	すうしき
数字	숫자	すうじ
末っ子	막내	すえっこ
好き嫌い	호불호	すききらい
過ぎる	장소나 시간이 지나다, 수치나 기준을 넘다	すぎる
少なくとも	적어도	すくなくとも
少なくなる	적어지다	すくなくなる
少しずつ	조금씩	すこしずつ
過ごす	(시간을) 보내다	すごす
勧める	권하다	すすめる
進める	앞으로 나아가게 하다, 진행하다	すすめる
すっきり	개운하다, 깔끔하다	すっきり
すでに	이미	すでに
素直	고분고분하다, 솔직하다	すなお
素晴らしい	훌륭하다	すばらしい
全て	모두	すべて
滑る	미끄러지다	すべる
済ませる	끝내다, 때우다	すませる
図	그림	ず
図々しい	뻔뻔하다	ずうずうしい
ずきずき	욱신욱신	ずきずき
頭痛	두통	ずつう
図面	도면	ずめん
正解	정답	せいかい
性格	성격	せいかく
正確	정확하다	せいかく
生活費	생활비	せいかつひ
請求書	청구서	せいきゅうしょ
制限	제한	せいげん
制作	제작	せいさく
正座	정좌	せいざ
正式	정식	せいしき
性質	성질	せいしつ
青春	청춘	せいしゅん
青少年	청소년	せいしょうねん
政治家	정치가	せいじか
正常	정상	せいじょう
成人	성인	せいじん
成績	성적	せいせき
製造	제조	せいぞう
制度	제도	せいど
青年	청년	せいねん
生年月日	생년월일	せいねんがっぴ
製品	제품	せいひん
正門	정문	せいもん
整理	정리	せいり
咳	기침	せき
責任	책임	せきにん
石油	석유	せきゆ
接近	접근하다	せっきん
接待	접대	せったい
接続	접속	せつぞく
狭い	좁다	せまい
世話をする	보살피다	せわをする
戦	전쟁	せん
線	선	せん
浅海	얕은 바다	せんかい
専攻	전공	せんこう
洗剤	세제	せんざい
選択	선택	せんたく
洗濯機	세탁기	せんたくき
洗濯物	세탁물	せんたくもの
宣伝	선전	せんでん
扇風機	선풍기	せんぷうき
洗面所	세면실	せんめんじょ
専門	전문	せんもん
専門家	전문가	せんもんか
専用	전용	せんよう
線路	선로	せんろ
税	세금	ぜい
税金	세금	ぜいきん
税込み	세금 포함	ぜいこみ
絶対	절대	ぜったい
絶対に	절대로	ぜったいに
是非	꼭, 옳고 그름	ぜひ
前後	앞뒤, (수량이나 시점 뒤에서) 전후	ぜんご
全身	전신	ぜんしん
前日	전날	ぜんじつ
前半	전반부	ぜんはん
全～	전	ぜん～
騒音	소음	そうおん
早期	조기	そうき
送金	송금	そうきん
送信	송신	そうしん
掃除機	청소기	そうじき
創造	창조	そうぞう
想像	상상	そうぞう
相続	상속	そうぞく
早退	조퇴	そうたい
相当	상당하다, 상응하다	そうとう
送付	송부	そうふ
送別会	송별회	そうべつかい
送料	배송료	そうりょう
速達	속달	そくたつ
測定	측정	そくてい
測量	측량	そくりょう
底	바닥	そこ
注ぐ	붓다, (힘이나 주의를) 쏟다, 흘러들다	そそぐ
育つ	자라다	そだつ
そっくり	꼭 닮다, 몽땅	そっくり
そっと	살짝, 몰래	そっと
卒業式	졸업식	そつぎょうしき
袖	소매, 옆부분	そで
そのまま	그대로	そのまま
側	곁	そば
それぞれ	각각	それぞれ
存在	존재	そんざい
増加	증가	ぞうか
増減	증감	ぞうげん
存じる	알다, 생각하다	ぞんじる
体育	체육	たいいく
体温	체온	たいおん
退学	자퇴하다, 퇴학당하다	たいがく
体験	체험	たいけん
滞在	체류하다	たいざい
退職	퇴직	たいしょく
体重	체중	たいじゅう
逮捕	체포	たいほ
太陽光	태양광	たいようこう
大量	대량	たいりょう
高まる	높아지다	たかまる
高める	높이다	たかめる
宝	보물	たから
確かめる	확인하다	たしかめる
足し算	덧셈	たしざん
助かる	살아나다, 도움이 되다	たすかる
助ける	돕다, (목숨을) 살리다	たすける
戦い	싸움	たたかい
戦う	싸우다	たたかう
畳む	(옷이나 이불을) 개다	たたむ
立ち上がる	일어서다, 가동되다, 출범하다	たちあがる
立ち止まる	멈춰 서다	たちどまる
立場	입장	たちば
たった	(수량이) 겨우	たった
たっぷり	듬뿍, 충분히	たっぷり
経つ	(시간이) 지나다	たつ
縦	세로, 상하 관계	たて
他人	타인	たにん
頼み	부탁, 의지할 대상	たのみ
頼もしい	믿음직하다	たのもしい
たまたま	우연히, 가끔	たまたま
貯める	(돈을) 모으다	ためる
多様	다양하다	たよう
多様化	다양화	たようか
頼る	의지하다	たよる
多量	다량	たりょう
短気	성미가 급하다	たんき
単身	혼자서	たんしん
誕生	탄생	たんじょう
単に	단지	たんに
代金	대금	だいきん
大工	목수	だいく
大体	대체로, 애초에	だいたい
大統領	대통령	だいとうりょう
代表的	대표적이다	だいひょうてき
大部分	대부분	だいぶぶん
代理	대리	だいり
抱く	안다	だく
抱っこ	안다	だっこ
騙す	속이다, 달래다	だます
黙る	말을 하지 않다	だまる
誰も	누구나, 아무도	だれも
団子	경단	だんご
男子	남자	だんし
断水	단수	だんすい
団体	단체	だんたい
段取り	일의 순서	だんどり
血	피	ち
地域	지역	ちいき
地下	지하	ちか
地下水	지하수	ちかすい
チカチカ	반짝반짝, 눈이 부시다, 따끔따끔	ちかちか
近づく	가까워지다	ちかづく
近づける	가까워지게 하다	ちかづける
近道	지름길	ちかみち
力を注ぐ	힘을 쏟다	ちからをそそぐ
違い	차이, 잘못	ちがい
地球	지구	ちきゅう
地区	지구	ちく
知識	지식	ちしき
知人	지인	ちじん
ちっとも	(부정 표현과 함께) 조금도	ちっとも
地方	지방	ちほう
茶色い	갈색이다	ちゃいろい
中央	중앙	ちゅうおう
中華	중화	ちゅうか
中間	중간	ちゅうかん
中学	중학교	ちゅうがく
中級	중급	ちゅうきゅう
駐車	주차	ちゅうしゃ
中旬	중순	ちゅうじゅん
中年	중년	ちゅうねん
注目	주목	ちゅうもく
超過	초과	ちょうか
朝刊	조간	ちょうかん
調査	조사	ちょうさ
調子	가락, 상태	ちょうし
調子が悪い	상태가 좋지 않다	ちょうしがわるい
朝食	아침 식사	ちょうしょく
長時間	장시간	ちょうじかん
長男	장남	ちょうなん
調味料	조미료	ちょうみりょう
直後	직후	ちょくご
直接	직접	ちょくせつ
直線	직선	ちょくせん
直通	직통	ちょくつう
治療	치료	ちりょう
つい	바로, 무심코	つい
追加	추가	ついか
ついでに	하는 김에	ついでに
ついに	드디어	ついに
通過	통과	つうか
通勤	통근	つうきん
通信	통신	つうしん
通じる	통하다	つうじる
通知	통지	つうち
通帳	통장	つうちょう
通訳	통역, 통역사	つうやく
使い方	사용법	つかいかた
使い捨て用品	일회용품	つかいすてようひん
掴む	잡다, 파악하다	つかむ
疲れ	피로	つかれ
付き合う	사귀다, 함께해 주다	つきあう
月日	세월	つきひ
次々	잇달아	つぎつぎ
次の年	다음 해	つぎのとし
作り出す	만들어내다	つくりだす
伝わる	전해지다	つたわる
土	흙, 땅	つち
包み	꾸러미	つつみ
続いて	이어서	つづいて
続き	이어지는 부분, 계속됨〔N続き〕	つづき
続ける	계속하다	つづける
務める	(역할이나 직책을) 맡다	つとめる
常に	항상	つねに
妻	아내	つま
詰める	(용기나 빈틈에) 채워 넣다, (간격이나 길이를) 줄이다	つめる
積もる	쌓이다	つもる
強まる	강해지다	つよまる
強める	강하게 하다	つよめる
連れる	(사람이나 동물을) 데리고 가다	つれる
提案	제안	ていあん
定員	정원	ていいん
低下	저하	ていか
定期	정기, 정기권, 정기 예금	ていき
定期的	정기적이다	ていきてき
提供	제공하다	ていきょう
停止	정지	ていし
停車	정차	ていしゃ
提出	제출	ていしゅつ
停電	정전	ていでん
程度	정도	ていど
手首	손목	てくび
手品	마술	てじな
手伝い	도움	てつだい
手続き	절차	てつづき
鉄道	철도	てつどう
徹夜	밤샘	てつや
手に入る	손에 들어오다	てにはいる
寺	절	てら
天国	천국	てんごく
展示	전시	てんじ
点数	점수	てんすう
出会い	만남	であい
出会う	만나다	であう
出入り	출입, 수입과 지출, 증감	でいり
出来上がる	완성되다, 만취하다	できあがる
出来事	사건	できごと
出迎える	마중 나가다	でむかえる
電球	전구	でんきゅう
電気をつける	전등을 켜다	でんきをつける
電源	전원	でんげん
伝言	전언	でんごん
伝説	전설	でんせつ
伝染	전염	でんせん
伝達	전달	でんたつ
電柱	전봇대	でんちゅう
伝統	전통	でんとう
問い合わせ	문의	といあわせ
問い合わせる	문의하다	といあわせる
答案	답안	とうあん
統計	통계	とうけい
投資	투자	とうし
当日	당일	とうじつ
登場	등장	とうじょう
当選	당선, 당첨	とうせん
当然	당연하다	とうぜん
灯台	등대	とうだい
東南アジア	동남아시아	とうなんアジア
投票	투표	とうひょう
遠回り	우회	とおまわり
通り過ぎる	지나가다	とおりすぎる
溶かす	녹이다	とかす
溶く	풀다	とく
解く	풀다	とく
特長	장점	とくちょう
特売	특가 판매	とくばい
得票	득표	とくひょう
溶ける	녹다	とける
床の間	도코노마	とこのま
年上	연상	としうえ
年月	세월	としつき
都心	도심	としん
閉じる	닫다	とじる
土地	토지, 지역	とち
特急券	특급권	とっきゅうけん
とっくに	진작에	とっくに
突然	갑자기	とつぜん
飛ばす	날리다, 건너뛰다, 속력을 내다	とばす
飛び込む	뛰어들다	とびこむ
徒歩	도보	とほ
留まる	멈추다, 내려앉다	とまる
泊める	묵게 하다	とめる
友	벗	とも
友達	친구	ともだち
虎	호랑이	とら
取り消す	취소하다	とりけす
取り出す	꺼내다	とりだす
取り付ける	설치하다, (동의 등을) 얻어 내다	とりつける
取引	거래	とりひき
とんとん	톡톡, 순조롭게, 수지가 맞다	とんとん
同意	동의	どうい
動作	동작, 작동하다	どうさ
同時	동시	どうじ
同窓会	동창회	どうそうかい
どうぞ	부디, 어서, 여기요	どうぞ
どきどき	두근두근	どきどき
独特	독특하다	どくとく
独立	독립	どくりつ
怒鳴る	고함치다	どなる
努力	노력	どりょく
泥	진흙	どろ
名	이름	な
内科	내과	ないか
内緒	비밀	ないしょ
内緒にする	비밀로 하다	ないしょにする
内線	내선	ないせん
内部	내부	ないぶ
治す	치료하다	なおす
仲	(사람 간의) 사이	なか
仲直り	화해	なかなおり
仲間	동료	なかま
中身	속, 내용	なかみ
中指	가운뎃손가락	なかゆび
仲良し	사이가 좋다	なかよし
流す	흘리다, 무산시키다	ながす
流れ	흐름	ながれ
流れる	흐르다, 무산되다	ながれる
泣き声	울음소리	なきごえ
泣く	울다	なく
亡くす	여의다	なくす
慰める	위로하다	なぐさめる
投げる	던지다	なげる
なだらか	완만하다	なだらか
懐かしい	그립다	なつかしい
斜め	삐딱하다	ななめ
鍋料理	전골 요리	なべりょうり
生	생	なま
怠ける	게으름 피우다	なまける
波	파도	なみ
涙	눈물	なみだ
悩み	고민	なやみ
習い事	배우는 일	ならいごと
鳴らす	소리를 내다, 이름을 떨치다	ならす
南北	남북	なんぼく
匂い	냄새	におい
握る	쥐다	にぎる
日時	일시	にちじ
日常	일상	にちじょう
日用品	일용품	にちようひん
日課	일과	にっか
日本酒	사케	にほんしゅ
入荷	입고	にゅうか
入金	입금	にゅうきん
入室	입실	にゅうしつ
入場料	입장료	にゅうじょうりょう
入門	입문	にゅうもん
入浴	목욕	にゅうよく
入力	입력	にゅうりょく
煮る	끓여 익히다	にる
鶏	닭	にわとり
人間	인간	にんげん
人数	인원수	にんずう
抜ける	빠지다, 빠져나가다, 누락되다	ぬける
濡らす	적시다	ぬらす
ぬるい	미지근하다	ぬるい
根	뿌리, 본성	ね
値上げ	인상	ねあげ
願い	바람	ねがい
値下げ	가격 인하	ねさげ
ねずみ	쥐	ねずみ
値段	가격	ねだん
年間	연간	ねんかん
年賀状	연하장	ねんがじょう
年中	일 년 내내, 항상	ねんじゅう
年代	연대	ねんだい
燃料	연료	ねんりょう
年齢	연령	ねんれい
野	들	の
農業	농업	のうぎょう
農村	농촌	のうそん
農民	농민	のうみん
能力	능력	のうりょく
残す	남기다	のこす
残り	나머지	のこり
載せる	올리다	のせる
伸ばす	늘이다, 기르다	のばす
延ばす	연기하다, 연장하다	のばす
伸びる	뻗다, 펴지다, 실력이나 수치가 늘다	のびる
述べる	말하다	のべる
上り	위로 향함	のぼり
上る	오르다	のぼる
飲み会	술자리	のみかい
海苔	김	のり
乗り遅れる	놓치다	のりおくれる
乗り換える	갈아타다	のりかえる
乗り越し	내릴 역을 지나침	のりこし
載る	실리다	のる
のろのろ	느릿느릿	のろのろ
のんびり	느긋하게	のんびり
葉	잎	は
配達	배달	はいたつ
生える	(풀이나 치아나 털이) 나다	はえる
測る	재다	はかる
はきはき	또박또박	はきはき
吐く	토하다, 내뱉다	はく
掃く	쓸다	はく
激しい	격렬하다	はげしい
箸	젓가락	はし
畑	밭, 분야	はたけ
働き	일, 활약, 작용	はたらき
働き者	부지런한 사람	はたらきもの
発刊	발간	はっかん
発行	발행	はっこう
発射	발사	はっしゃ
発生	발생	はっせい
発想	발상	はっそう
発達	발달	はったつ
発展	발전	はってん
発言	발언	はつげん
発電	발전	はつでん
発売	발매	はつばい
鼻	코	はな
話し合い	논의	はなしあい
話し合う	의논하다	はなしあう
